X,Y,Theta,Time
1.000000000000000021e-03,0.000000000000000000e+00,6.283185307179639523e-03,0.000000000000000000e+00
1.999980260856137199e-03,6.283143965559004644e-06,1.256637061435927905e-02,1.000000000000000021e-02
2.999901305059953123e-03,1.884918384891171974e-05,1.884955592153891857e-02,2.000000000000000042e-02
3.999723657440761720e-03,3.769762356432005399e-05,2.513274122871855809e-02,2.999999999999999889e-02
4.999407846724061508e-03,6.282771900765774724e-05,3.141592653589819761e-02,4.000000000000000083e-02
5.998914407089793455e-03,9.423847808578630653e-05,3.769911184307783714e-02,5.000000000000000278e-02
6.998203879730382874e-03,1.319286607557211490e-04,4.398229715025747666e-02,6.000000000000000472e-02
7.997236814408507227e-03,1.758967790735864434e-04,5.026548245743711618e-02,7.000000000000000666e-02
8.995973771014523918e-03,2.261410972533564254e-04,5.654866776461675570e-02,8.000000000000000167e-02
9.994375321123499106e-03,2.826596317353814464e-04,6.283185307179639523e-02,8.999999999999999667e-02
1.099240204955177075e-02,3.454501512646953438e-04,6.911503837897603475e-02,9.999999999999999167e-02
1.199001455591299642e-02,4.145101769791017165e-04,7.539822368615567427e-02,1.099999999999999867e-01
1.298717345617361046e-02,4.898369825070350439e-04,8.168140899333531380e-02,1.199999999999999817e-01
1.398383938420764104e-02,5.714275940751933382e-04,8.796459430051495332e-02,1.299999999999999767e-01
1.497997299335081418e-02,6.592787906259372360e-04,9.424777960769459284e-02,1.399999999999999856e-01
1.597553495795389286e-02,7.533871039444523313e-04,1.005309649148742324e-01,1.499999999999999944e-01
1.697048597493519204e-02,8.537488187956680796e-04,1.068141502220538719e-01,1.600000000000000033e-01
1.796478676533218993e-02,9.603599730709288856e-04,1.130973355292335114e-01,1.700000000000000122e-01
1.895839807585219736e-02,1.073216357944411625e-03,1.193805208364131509e-01,1.800000000000000211e-01
1.995128068042201219e-02,1.192313518039282445e-03,1.256637061435927905e-01,1.900000000000000300e-01
2.094339538173648971e-02,1.317646751603587752e-03,1.319468914507724300e-01,2.000000000000000389e-01
2.193470301280599569e-02,1.449211110695871468e-03,1.382300767579520695e-01,2.100000000000000477e-01
2.292516443850264526e-02,1.587001401380510636e-03,1.445132620651317090e-01,2.200000000000000566e-01
2.391474055710529623e-02,1.731012183932764074e-03,1.507964473723113485e-01,2.300000000000000655e-01
2.490339230184321004e-02,1.881237773053522468e-03,1.570796326794909881e-01,2.400000000000000744e-01
2.589108064243834939e-02,2.037672238093754702e-03,1.633628179866706276e-01,2.500000000000000555e-01
2.687776658664621857e-02,2.200309403288639581e-03,1.696460032938502671e-01,2.600000000000000644e-01
2.786341118179521542e-02,2.369142848001374712e-03,1.759291886010299066e-01,2.700000000000000733e-01
2.884797551632442211e-02,2.544165906976652344e-03,1.822123739082095462e-01,2.800000000000000822e-01
2.983142072131975131e-02,2.725371670603791117e-03,1.884955592153891857e-01,2.900000000000000910e-01
3.081370797204844095e-02,2.912752985189517429e-03,1.947787445225688252e-01,3.000000000000000999e-01
3.179479848949177262e-02,3.106302453240379277e-03,2.010619298297484647e-01,3.100000000000001088e-01
3.277465354187601709e-02,3.306012433754787830e-03,2.073451151369281042e-01,3.200000000000001177e-01
3.375323444620148550e-02,3.511875042524671090e-03,2.136283004441077438e-01,3.300000000000001266e-01
3.473050256976967926e-02,3.723882152446727524e-03,2.199114857512873833e-01,3.400000000000001354e-01
3.570641933170842774e-02,3.942025393843272274e-03,2.261946710584670228e-01,3.500000000000001443e-01
3.668094620449500326e-02,4.166296154792655144e-03,2.324778563656466623e-01,3.600000000000001532e-01
3.765404471547712656e-02,4.396685581469247754e-03,2.387610416728263019e-01,3.700000000000001621e-01
3.862567644839180053e-02,4.633184578492974270e-03,2.450442269800059414e-01,3.800000000000001710e-01
3.959580304488190261e-02,4.875783809288383557e-03,2.513274122871855809e-01,3.900000000000001799e-01
4.056438620601053591e-02,5.124473696453240613e-03,2.576105975943652204e-01,4.000000000000001887e-01
4.153138769377297257e-02,5.379244422136625174e-03,2.638937829015448600e-01,4.100000000000001976e-01
4.249676933260624484e-02,5.640085928426524439e-03,2.701769682087244995e-01,4.200000000000002065e-01
4.346049301089625200e-02,5.906987917746902607e-03,2.764601535159041390e-01,4.300000000000002154e-01
4.442252068248233460e-02,6.179939853264229850e-03,2.827433388230837785e-01,4.400000000000002243e-01
4.538281436815927439e-02,6.458930959303461200e-03,2.890265241302634180e-01,4.500000000000002331e-01
4.634133615717665050e-02,6.743950221773439314e-03,2.953097094374430576e-01,4.600000000000002420e-01
4.729804820873548254e-02,7.034986388601713325e-03,3.015928947446226971e-01,4.700000000000002509e-01
4.825291275348212588e-02,7.332027970178750347e-03,3.078760800518023366e-01,4.800000000000002598e-01
4.920589209499934280e-02,7.635063239811526632e-03,3.141592653589819761e-01,4.900000000000002687e-01
