X,Y,Theta,time
0.0010000,0.0000000,0.0062832,0.0000000
0.0020000,0.0000063,0.0125664,0.0100000
0.0029999,0.0000188,0.0188496,0.0200000
0.0039997,0.0000377,0.0251327,0.0300000
0.0049994,0.0000628,0.0314159,0.0400000
0.0059989,0.0000942,0.0376991,0.0500000
0.0069982,0.0001319,0.0439823,0.0600000
0.0079972,0.0001759,0.0502655,0.0700000
0.0089960,0.0002261,0.0565487,0.0800000
0.0099944,0.0002827,0.0628319,0.0900000
0.0109924,0.0003455,0.0691150,0.1000000
0.0119900,0.0004145,0.0753982,0.1100000
0.0129872,0.0004898,0.0816814,0.1200000
0.0139838,0.0005714,0.0879646,0.1300000
0.0149800,0.0006593,0.0942478,0.1400000
0.0159755,0.0007534,0.1005310,0.1500000
0.0169705,0.0008537,0.1068142,0.1600000
0.0179648,0.0009604,0.1130973,0.1700000
0.0189584,0.0010732,0.1193805,0.1800000
0.0199513,0.0011923,0.1256637,0.1900000
0.0209434,0.0013176,0.1319469,0.2000000
0.0219347,0.0014492,0.1382301,0.2100000
0.0229252,0.0015870,0.1445133,0.2200000
0.0239147,0.0017310,0.1507964,0.2300000
0.0249034,0.0018812,0.1570796,0.2400000
0.0258911,0.0020377,0.1633628,0.2500000
0.0268778,0.0022003,0.1696460,0.2600000
0.0278634,0.0023691,0.1759292,0.2700000
0.0288480,0.0025442,0.1822124,0.2800000
0.0298314,0.0027254,0.1884956,0.2900000
0.0308137,0.0029128,0.1947787,0.3000000
0.0317948,0.0031063,0.2010619,0.3100000
0.0327747,0.0033060,0.2073451,0.3200000
0.0337532,0.0035119,0.2136283,0.3300000
0.0347305,0.0037239,0.2199115,0.3400000
0.0357064,0.0039420,0.2261947,0.3500000
0.0366809,0.0041663,0.2324779,0.3600000
0.0376540,0.0043967,0.2387610,0.3700000
0.0386257,0.0046332,0.2450442,0.3800000
0.0395958,0.0048758,0.2513274,0.3900000
0.0405644,0.0051245,0.2576106,0.4000000
0.0415314,0.0053792,0.2638938,0.4100000
0.0424968,0.0056401,0.2701770,0.4200000
0.0434605,0.0059070,0.2764602,0.4300000
0.0444225,0.0061799,0.2827433,0.4400000
0.0453828,0.0064589,0.2890265,0.4500000
0.0463413,0.0067440,0.2953097,0.4600000
0.0472980,0.0070350,0.3015929,0.4700000
0.0482529,0.0073320,0.3078761,0.4800000
0.0492059,0.0076351,0.3141593,0.4900000
0.0501569,0.0079441,0.3204425,0.5000000
0.0511060,0.0082591,0.3267256,0.5100000
0.0520531,0.0085800,0.3330088,0.5200000
0.0529982,0.0089069,0.3392920,0.5300000
0.0539412,0.0092397,0.3455752,0.5400000
0.0548821,0.0095785,0.3518584,0.5500000
0.0558208,0.0099231,0.3581416,0.5600000
0.0567574,0.0102736,0.3644247,0.5700000
0.0576917,0.0106300,0.3707079,0.5800000
0.0586238,0.0109923,0.3769911,0.5900000
0.0595535,0.0113604,0.3832743,0.6000000
0.0604810,0.0117344,0.3895575,0.6100000
0.0614061,0.0121142,0.3958407,0.6200000
0.0623287,0.0124998,0.4021239,0.6300000
0.0632490,0.0128911,0.4084070,0.6400000
0.0641667,0.0132883,0.4146902,0.6500000
